"filename", "language", "C++", "Dart", "YAML", "CMake", "Markdown", "Properties", "XML", "Java", "HTML", "comment", "blank", "total"
"f:\androidstudio\clockly\lib\features\setting\widgets\account_section.dart", "Dart", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 5, 107
"f:\androidstudio\clockly\lib\features\setting\widgets\appearance_dialog.dart", "Dart", 0, 98, 0, 0, 0, 0, 0, 0, 0, 3, 3, 104
"f:\androidstudio\clockly\lib\features\setting\widgets\appearance_option.dart", "Dart", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 4, 104
"f:\androidstudio\clockly\lib\features\setting\widgets\button_logout.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 4, 58
"f:\androidstudio\clockly\lib\features\setting\widgets\editable_avatar.dart", "Dart", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 5, 76
"f:\androidstudio\clockly\lib\features\setting\widgets\form_change_name.dart", "Dart", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 12, 96
"f:\androidstudio\clockly\lib\features\setting\widgets\heading_setting.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 6, 67
"f:\androidstudio\clockly\lib\features\setting\widgets\notification_dialog.dart", "Dart", 0, 149, 0, 0, 0, 0, 0, 0, 0, 3, 12, 164
"f:\androidstudio\clockly\lib\features\setting\widgets\payment_processing_dialog.dart", "Dart", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61
"f:\androidstudio\clockly\lib\features\setting\widgets\plan_option_yearly.dart", "Dart", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 11, 118
"f:\androidstudio\clockly\lib\features\setting\widgets\preferences_section.dart", "Dart", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 8, 90
"f:\androidstudio\clockly\lib\features\setting\widgets\section_title.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"f:\androidstudio\clockly\lib\features\setting\widgets\settings_list_tile.dart", "Dart", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 4, 51
"f:\androidstudio\clockly\lib\features\setting\widgets\subcription_info.dart", "Dart", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 7, 50
"f:\androidstudio\clockly\lib\features\setting\widgets\support_section.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"f:\androidstudio\clockly\lib\features\setting\widgets\upgrade_pro_button.dart", "Dart", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 5, 68
"f:\androidstudio\clockly\lib\features\task_home\bidings\main_home_biding.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"f:\androidstudio\clockly\lib\features\task_home\controllers\task_home_controller.dart", "Dart", 0, 499, 0, 0, 0, 0, 0, 0, 0, 0, 103, 602
"f:\androidstudio\clockly\lib\features\task_home\model\task.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 8, 57
"f:\androidstudio\clockly\lib\features\task_home\model\task_category.dart", "Dart", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 14, 97
"f:\androidstudio\clockly\lib\features\task_home\view\page_task.dart", "Dart", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 11, 92
"f:\androidstudio\clockly\lib\features\task_home\widgets\bottom_dialog.dart", "Dart", 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 14, 164
"f:\androidstudio\clockly\lib\features\task_home\widgets\categorized_task_list.dart", "Dart", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 17, 95
"f:\androidstudio\clockly\lib\features\task_home\widgets\custom_actiom_chip.dart", "Dart", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 10, 105
"f:\androidstudio\clockly\lib\features\task_home\widgets\custom_app_bar.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 5, 56
"f:\androidstudio\clockly\lib\features\task_home\widgets\custom_bottom_nav.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"f:\androidstudio\clockly\lib\features\task_home\widgets\custom_choices_chip.dart", "Dart", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 8, 81
"f:\androidstudio\clockly\lib\features\task_home\widgets\edit_task_bottom_sheet.dart", "Dart", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 11, 128
"f:\androidstudio\clockly\lib\features\task_home\widgets\empty_task_widget.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 6, 68
"f:\androidstudio\clockly\lib\features\task_home\widgets\heading_text_task.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"f:\androidstudio\clockly\lib\features\task_home\widgets\list_avatar.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"f:\androidstudio\clockly\lib\features\task_home\widgets\pick_date_add_task.dart", "Dart", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 10, 115
"f:\androidstudio\clockly\lib\features\task_home\widgets\picked_friends.dart", "Dart", 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 12, 122
"f:\androidstudio\clockly\lib\features\task_home\widgets\priority_selector.dart", "Dart", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 8, 78
"f:\androidstudio\clockly\lib\features\task_home\widgets\quick_chip.dart", "Dart", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"f:\androidstudio\clockly\lib\features\task_home\widgets\task_details_bottom_sheet.dart", "Dart", 0, 301, 0, 0, 0, 0, 0, 0, 0, 0, 21, 322
"f:\androidstudio\clockly\lib\features\task_home\widgets\task_list.dart", "Dart", 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 16, 253
"f:\androidstudio\clockly\lib\features\task_home\widgets\text_filed_add_task.dart", "Dart", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 8, 121
"f:\androidstudio\clockly\lib\features\task_home\widgets\text_title_add_task.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"f:\androidstudio\clockly\lib\main.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31
"f:\androidstudio\clockly\lib\routes\app_pages.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65
"f:\androidstudio\clockly\lib\routes\app_routes.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"f:\androidstudio\clockly\pubspec.yaml", "YAML", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 5, 57
"f:\androidstudio\clockly\test\theme_test.dart", "Dart", 0, 300, 0, 0, 0, 0, 0, 0, 0, 31, 55, 386
"f:\androidstudio\clockly\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"f:\androidstudio\clockly\windows\CMakeLists.txt", "CMake", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 20, 109
"f:\androidstudio\clockly\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 12, 110
"f:\androidstudio\clockly\windows\flutter\generated_plugin_registrant.cc", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 27
"f:\androidstudio\clockly\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"f:\androidstudio\clockly\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 6, 31
"f:\androidstudio\clockly\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 7, 41
"f:\androidstudio\clockly\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"f:\androidstudio\clockly\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"f:\androidstudio\clockly\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"f:\androidstudio\clockly\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"f:\androidstudio\clockly\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"f:\androidstudio\clockly\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"f:\androidstudio\clockly\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"f:\androidstudio\clockly\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 451, 10025, 58, 246, 11, 11, 104, 4, 548, 212, 1660, 13330
