Date : 2026-05-31 13:38:29
Directory : f:\androidstudio\clockly
Total : 169 files,  11712 codes, 213 comments, 1684 blanks, all 13609 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| f:\androidstudio\clockly\android\build\reports\problems\problems-report.html                    | HTML       |        548 |          2 |        114 |        664 |
| f:\androidstudio\clockly\android\gradle.properties                                              | Properties |          6 |          0 |          2 |          8 |
| f:\androidstudio\clockly\android\gradle\wrapper\gradle-wrapper.properties                       | Properties |          5 |          0 |          1 |          6 |
| f:\androidstudio\clockly\devtools_options.yaml                                                  | YAML       |          3 |          0 |          1 |          4 |
| f:\androidstudio\clockly\lib\app.dart                                                           | Dart       |         23 |          0 |          4 |         27 |
| f:\androidstudio\clockly\lib\bidings\initial_biding.dart                                        | Dart       |         14 |          0 |          3 |         17 |
| f:\androidstudio\clockly\lib\core\components\app_alerts.dart                                    | Dart       |         25 |          0 |          5 |         30 |
| f:\androidstudio\clockly\lib\core\components\app_info.dart                                      | Dart       |         19 |          0 |          4 |         23 |
| f:\androidstudio\clockly\lib\core\components\avatar.dart                                        | Dart       |         14 |          0 |          4 |         18 |
| f:\androidstudio\clockly\lib\core\components\custom_snackbar.dart                               | Dart       |         20 |          0 |          2 |         22 |
| f:\androidstudio\clockly\lib\core\components\custom_text_button.dart                            | Dart       |         32 |          0 |          4 |         36 |
| f:\androidstudio\clockly\lib\core\components\custom_text_field.dart                             | Dart       |         66 |          0 |         16 |         82 |
| f:\androidstudio\clockly\lib\core\components\heading_text_page.dart                             | Dart       |         23 |          0 |          4 |         27 |
| f:\androidstudio\clockly\lib\core\components\primary_button.dart                                | Dart       |         58 |          0 |          4 |         62 |
| f:\androidstudio\clockly\lib\core\components\text_heading.dart                                  | Dart       |         10 |          0 |          3 |         13 |
| f:\androidstudio\clockly\lib\core\components\text_title.dart                                    | Dart       |         18 |          0 |          4 |         22 |
| f:\androidstudio\clockly\lib\core\constants\app_message.dart                                    | Dart       |         24 |          0 |          5 |         29 |
| f:\androidstudio\clockly\lib\core\constants\app_size.dart                                       | Dart       |         12 |          0 |          2 |         14 |
| f:\androidstudio\clockly\lib\core\services\ai_service.dart                                      | Dart       |         87 |          0 |         15 |        102 |
| f:\androidstudio\clockly\lib\core\services\app_info_service.dart                                | Dart       |         13 |          0 |          3 |         16 |
| f:\androidstudio\clockly\lib\core\services\auth_service.dart                                    | Dart       |        100 |          0 |         21 |        121 |
| f:\androidstudio\clockly\lib\core\services\notification_service.dart                            | Dart       |        141 |          0 |         28 |        169 |
| f:\androidstudio\clockly\lib\core\theme\app_colors.dart                                         | Dart       |         16 |          0 |          4 |         20 |
| f:\androidstudio\clockly\lib\core\theme\app_text_styles.dart                                    | Dart       |         25 |          0 |          4 |         29 |
| f:\androidstudio\clockly\lib\core\theme\app_theme.dart                                          | Dart       |         19 |          0 |          2 |         21 |
| f:\androidstudio\clockly\lib\core\utils\date_helper.dart                                        | Dart       |        302 |          0 |         13 |        315 |
| f:\androidstudio\clockly\lib\core\utils\dialog_helper.dart                                      | Dart       |        135 |          0 |         24 |        159 |
| f:\androidstudio\clockly\lib\core\utils\theme_helper.dart                                       | Dart       |         27 |          0 |          7 |         34 |
| f:\androidstudio\clockly\lib\features\analys\controller\analysis_controller.dart                | Dart       |        119 |          0 |         30 |        149 |
| f:\androidstudio\clockly\lib\features\analys\view\page_analys.dart                              | Dart       |         61 |          0 |         13 |         74 |
| f:\androidstudio\clockly\lib\features\analys\widget\custom_button_dropdown.dart                 | Dart       |         58 |          0 |          4 |         62 |
| f:\androidstudio\clockly\lib\features\analys\widget\custom_chart.dart                           | Dart       |        135 |          0 |         10 |        145 |
| f:\androidstudio\clockly\lib\features\analys\widget\custom_pie_chart.dart                       | Dart       |         49 |          0 |          7 |         56 |
| f:\androidstudio\clockly\lib\features\analys\widget\indicator.dart                              | Dart       |         49 |          0 |          5 |         54 |
| f:\androidstudio\clockly\lib\features\analys\widget\information_card.dart                       | Dart       |         75 |          0 |          8 |         83 |
| f:\androidstudio\clockly\lib\features\analys\widget\list_infomation.dart                        | Dart       |         45 |          0 |          8 |         53 |
| f:\androidstudio\clockly\lib\features\analys\widget\note_chart.dart                             | Dart       |         48 |          0 |          8 |         56 |
| f:\androidstudio\clockly\lib\features\analys\widget\productivity_trend_card.dart                | Dart       |        176 |          1 |         15 |        192 |
| f:\androidstudio\clockly\lib\features\analys\widget\weekly_performance_card.dart                | Dart       |        104 |          0 |          7 |        111 |
| f:\androidstudio\clockly\lib\features\auth\bidings\forgot_password_bidings.dart                 | Dart       |          8 |          0 |          2 |         10 |
| f:\androidstudio\clockly\lib\features\auth\bidings\login_bidings.dart                           | Dart       |          8 |          0 |          2 |         10 |
| f:\androidstudio\clockly\lib\features\auth\bidings\sign_up_bidings.dart                         | Dart       |          8 |          0 |          2 |         10 |
| f:\androidstudio\clockly\lib\features\auth\bidings\splash_bidings.dart                          | Dart       |          8 |          0 |          1 |          9 |
| f:\androidstudio\clockly\lib\features\auth\controllers\auth_helper.dart                         | Dart       |        182 |          1 |         23 |        206 |
| f:\androidstudio\clockly\lib\features\auth\controllers\forgot_password_controller.dart          | Dart       |         64 |          2 |         12 |         78 |
| f:\androidstudio\clockly\lib\features\auth\controllers\login_controller.dart                    | Dart       |         39 |          0 |          9 |         48 |
| f:\androidstudio\clockly\lib\features\auth\controllers\otp_controller.dart                      | Dart       |         62 |          3 |         13 |         78 |
| f:\androidstudio\clockly\lib\features\auth\controllers\sign_up_controller.dart                  | Dart       |         50 |          0 |         11 |         61 |
| f:\androidstudio\clockly\lib\features\auth\controllers\splash_controller.dart                   | Dart       |         11 |          0 |          3 |         14 |
| f:\androidstudio\clockly\lib\features\auth\model\user_model.dart                                | Dart       |         28 |          0 |          2 |         30 |
| f:\androidstudio\clockly\lib\features\auth\splash\splash_page.dart                              | Dart       |         52 |          0 |          3 |         55 |
| f:\androidstudio\clockly\lib\features\auth\splash\widget\bottom_text.dart                       | Dart       |         14 |          0 |          4 |         18 |
| f:\androidstudio\clockly\lib\features\auth\splash\widget\loading_process.dart                   | Dart       |         19 |          0 |          4 |         23 |
| f:\androidstudio\clockly\lib\features\auth\splash\widget\main_logo.dart                         | Dart       |         24 |          0 |          4 |         28 |
| f:\androidstudio\clockly\lib\features\auth\validators\validate.dart                             | Dart       |         49 |          0 |         12 |         61 |
| f:\androidstudio\clockly\lib\features\auth\views\page_forgot_password.dart                      | Dart       |         41 |          0 |          5 |         46 |
| f:\androidstudio\clockly\lib\features\auth\views\page_login.dart                                | Dart       |         42 |          0 |         10 |         52 |
| f:\androidstudio\clockly\lib\features\auth\views\page_reset_password.dart                       | Dart       |         27 |          0 |          4 |         31 |
| f:\androidstudio\clockly\lib\features\auth\views\page_sign_up.dart                              | Dart       |         27 |          0 |          4 |         31 |
| f:\androidstudio\clockly\lib\features\auth\widgets\bottom_button.dart                           | Dart       |         41 |          0 |          4 |         45 |
| f:\androidstudio\clockly\lib\features\auth\widgets\form_forgot_password.dart                    | Dart       |         48 |          0 |          6 |         54 |
| f:\androidstudio\clockly\lib\features\auth\widgets\form_login.dart                              | Dart       |         68 |          0 |          8 |         76 |
| f:\androidstudio\clockly\lib\features\auth\widgets\form_reset_password.dart                     | Dart       |         61 |          0 |          7 |         68 |
| f:\androidstudio\clockly\lib\features\auth\widgets\form_sign_up.dart                            | Dart       |         85 |          0 |          8 |         93 |
| f:\androidstudio\clockly\lib\features\auth\widgets\heading_auth.dart                            | Dart       |         30 |          0 |          7 |         37 |
| f:\androidstudio\clockly\lib\features\auth\widgets\main_icon.dart                               | Dart       |         19 |          0 |          4 |         23 |
| f:\androidstudio\clockly\lib\features\auth\widgets\main_theme.dart                              | Dart       |         55 |          0 |          5 |         60 |
| f:\androidstudio\clockly\lib\features\calendar\controller\calendar_controller.dart              | Dart       |         58 |          0 |         16 |         74 |
| f:\androidstudio\clockly\lib\features\calendar\view\page_calendar.dart                          | Dart       |         60 |          0 |          9 |         69 |
| f:\androidstudio\clockly\lib\features\calendar\widget\custom_table_calendar.dart                | Dart       |        153 |          0 |         14 |        167 |
| f:\androidstudio\clockly\lib\features\calendar\widget\today_task.dart                           | Dart       |        100 |          0 |         10 |        110 |
| f:\androidstudio\clockly\lib\features\leader_board\controller\team_controller.dart              | Dart       |        195 |          0 |         42 |        237 |
| f:\androidstudio\clockly\lib\features\leader_board\view\page_leader_board.dart                  | Dart       |         51 |          0 |          8 |         59 |
| f:\androidstudio\clockly\lib\features\leader_board\widget\friend_requests_bottom_sheet.dart     | Dart       |        140 |          0 |         10 |        150 |
| f:\androidstudio\clockly\lib\features\leader_board\widget\leader_board.dart                     | Dart       |        234 |          0 |         17 |        251 |
| f:\androidstudio\clockly\lib\features\leader_board\widget\leaderboard_header.dart               | Dart       |        101 |          0 |          6 |        107 |
| f:\androidstudio\clockly\lib\features\leader_board\widget\leaderboard_search_bar.dart           | Dart       |         51 |          0 |          4 |         55 |
| f:\androidstudio\clockly\lib\features\leader_board\widget\search_friend_bottom_sheet.dart       | Dart       |        156 |          0 |         10 |        166 |
| f:\androidstudio\clockly\lib\features\page_chat\model\local_chat_message.dart                   | Dart       |         12 |          0 |          2 |         14 |
| f:\androidstudio\clockly\lib\features\page_chat\views\page_chat.dart                            | Dart       |         51 |          0 |          7 |         58 |
| f:\androidstudio\clockly\lib\features\page_chat\widgets\chat_empty_state.dart                   | Dart       |        106 |          0 |          4 |        110 |
| f:\androidstudio\clockly\lib\features\page_chat\widgets\chat_messages_view.dart                 | Dart       |        217 |          0 |         16 |        233 |
| f:\androidstudio\clockly\lib\features\page_chat\widgets\heading_chat.dart                       | Dart       |         64 |          0 |          5 |         69 |
| f:\androidstudio\clockly\lib\features\page_chat\widgets\main_chat_body.dart                     | Dart       |         18 |          0 |          4 |         22 |
| f:\androidstudio\clockly\lib\features\page_chat\widgets\messager_bar.dart                       | Dart       |        101 |          0 |          8 |        109 |
| f:\androidstudio\clockly\lib\features\page_chat\widgets\quick_task_dialog.dart                  | Dart       |         35 |          0 |          5 |         40 |
| f:\androidstudio\clockly\lib\features\page_chat\widgets\quick_task_header.dart                  | Dart       |         55 |          0 |          3 |         58 |
| f:\androidstudio\clockly\lib\features\page_chat\widgets\quick_task_input.dart                   | Dart       |         71 |          0 |          5 |         76 |
| f:\androidstudio\clockly\lib\features\page_main_home.dart                                       | Dart       |         51 |          0 |          7 |         58 |
| f:\androidstudio\clockly\lib\features\setting\bidings\edit_bidings.dart                         | Dart       |          8 |          0 |          2 |         10 |
| f:\androidstudio\clockly\lib\features\setting\bidings\setting_binding.dart                      | Dart       |         10 |          0 |          2 |         12 |
| f:\androidstudio\clockly\lib\features\setting\controller\edit_profile_controller.dart           | Dart       |         82 |          0 |         20 |        102 |
| f:\androidstudio\clockly\lib\features\setting\controller\notification_controller.dart           | Dart       |        126 |          0 |         37 |        163 |
| f:\androidstudio\clockly\lib\features\setting\controller\option_plan_controller.dart            | Dart       |         81 |          0 |         25 |        106 |
| f:\androidstudio\clockly\lib\features\setting\controller\settings_controller.dart               | Dart       |        143 |          0 |         25 |        168 |
| f:\androidstudio\clockly\lib\features\setting\views\page_edit_profile.dart                      | Dart       |         32 |          0 |          8 |         40 |
| f:\androidstudio\clockly\lib\features\setting\views\page_privacy_terms.dart                     | Dart       |        175 |          0 |         18 |        193 |
| f:\androidstudio\clockly\lib\features\setting\views\page_settings.dart                          | Dart       |         48 |          0 |         10 |         58 |
| f:\androidstudio\clockly\lib\features\setting\views\page_subcription.dart                       | Dart       |         45 |          0 |          8 |         53 |
| f:\androidstudio\clockly\lib\features\setting\widgets\account_section.dart                      | Dart       |        102 |          0 |          5 |        107 |
| f:\androidstudio\clockly\lib\features\setting\widgets\appearance_dialog.dart                    | Dart       |         98 |          3 |          3 |        104 |
| f:\androidstudio\clockly\lib\features\setting\widgets\appearance_option.dart                    | Dart       |        100 |          0 |          4 |        104 |
| f:\androidstudio\clockly\lib\features\setting\widgets\button_logout.dart                        | Dart       |         54 |          0 |          4 |         58 |
| f:\androidstudio\clockly\lib\features\setting\widgets\editable_avatar.dart                      | Dart       |         71 |          0 |          5 |         76 |
| f:\androidstudio\clockly\lib\features\setting\widgets\form_change_name.dart                     | Dart       |         84 |          0 |         12 |         96 |
| f:\androidstudio\clockly\lib\features\setting\widgets\heading_setting.dart                      | Dart       |         61 |          0 |          6 |         67 |
| f:\androidstudio\clockly\lib\features\setting\widgets\notification_dialog.dart                  | Dart       |        149 |          3 |         12 |        164 |
| f:\androidstudio\clockly\lib\features\setting\widgets\payment_processing_dialog.dart            | Dart       |         54 |          0 |          7 |         61 |
| f:\androidstudio\clockly\lib\features\setting\widgets\plan_option_yearly.dart                   | Dart       |        107 |          0 |         11 |        118 |
| f:\androidstudio\clockly\lib\features\setting\widgets\preferences_section.dart                  | Dart       |         82 |          0 |          8 |         90 |
| f:\androidstudio\clockly\lib\features\setting\widgets\privacy_section.dart                      | Dart       |         70 |          1 |          5 |         76 |
| f:\androidstudio\clockly\lib\features\setting\widgets\section_title.dart                        | Dart       |         21 |          0 |          4 |         25 |
| f:\androidstudio\clockly\lib\features\setting\widgets\settings_list_tile.dart                   | Dart       |         47 |          0 |          4 |         51 |
| f:\androidstudio\clockly\lib\features\setting\widgets\subcription_info.dart                     | Dart       |         43 |          0 |          7 |         50 |
| f:\androidstudio\clockly\lib\features\setting\widgets\support_section.dart                      | Dart       |         46 |          0 |          3 |         49 |
| f:\androidstudio\clockly\lib\features\setting\widgets\upgrade_pro_button.dart                   | Dart       |         63 |          0 |          5 |         68 |
| f:\androidstudio\clockly\lib\features\task_home\bidings\main_home_biding.dart                   | Dart       |         16 |          0 |          2 |         18 |
| f:\androidstudio\clockly\lib\features\task_home\controllers\task_home_controller.dart           | Dart       |        499 |          0 |        103 |        602 |
| f:\androidstudio\clockly\lib\features\task_home\model\task.dart                                 | Dart       |         49 |          0 |          8 |         57 |
| f:\androidstudio\clockly\lib\features\task_home\model\task_category.dart                        | Dart       |         83 |          0 |         14 |         97 |
| f:\androidstudio\clockly\lib\features\task_home\view\page_task.dart                             | Dart       |         81 |          0 |         11 |         92 |
| f:\androidstudio\clockly\lib\features\task_home\widgets\bottom_dialog.dart                      | Dart       |        150 |          0 |         14 |        164 |
| f:\androidstudio\clockly\lib\features\task_home\widgets\categorized_task_list.dart              | Dart       |         78 |          0 |         17 |         95 |
| f:\androidstudio\clockly\lib\features\task_home\widgets\custom_actiom_chip.dart                 | Dart       |         95 |          0 |         10 |        105 |
| f:\androidstudio\clockly\lib\features\task_home\widgets\custom_app_bar.dart                     | Dart       |         51 |          0 |          5 |         56 |
| f:\androidstudio\clockly\lib\features\task_home\widgets\custom_bottom_nav.dart                  | Dart       |         42 |          0 |          6 |         48 |
| f:\androidstudio\clockly\lib\features\task_home\widgets\custom_choices_chip.dart                | Dart       |         73 |          0 |          8 |         81 |
| f:\androidstudio\clockly\lib\features\task_home\widgets\edit_task_bottom_sheet.dart             | Dart       |        117 |          0 |         11 |        128 |
| f:\androidstudio\clockly\lib\features\task_home\widgets\empty_task_widget.dart                  | Dart       |         67 |          0 |          7 |         74 |
| f:\androidstudio\clockly\lib\features\task_home\widgets\heading_text_task.dart                  | Dart       |         30 |          0 |          4 |         34 |
| f:\androidstudio\clockly\lib\features\task_home\widgets\list_avatar.dart                        | Dart       |         37 |          0 |          6 |         43 |
| f:\androidstudio\clockly\lib\features\task_home\widgets\pick_date_add_task.dart                 | Dart       |        105 |          0 |         10 |        115 |
| f:\androidstudio\clockly\lib\features\task_home\widgets\picked_friends.dart                     | Dart       |        110 |          0 |         12 |        122 |
| f:\androidstudio\clockly\lib\features\task_home\widgets\priority_selector.dart                  | Dart       |         70 |          0 |          8 |         78 |
| f:\androidstudio\clockly\lib\features\task_home\widgets\quick_chip.dart                         | Dart       |         44 |          0 |          5 |         49 |
| f:\androidstudio\clockly\lib\features\task_home\widgets\task_details_bottom_sheet.dart          | Dart       |        301 |          0 |         21 |        322 |
| f:\androidstudio\clockly\lib\features\task_home\widgets\task_list.dart                          | Dart       |        237 |          0 |         16 |        253 |
| f:\androidstudio\clockly\lib\features\task_home\widgets\text_filed_add_task.dart                | Dart       |        113 |          0 |          8 |        121 |
| f:\androidstudio\clockly\lib\features\task_home\widgets\text_title_add_task.dart                | Dart       |         22 |          0 |          4 |         26 |
| f:\androidstudio\clockly\lib\main.dart                                                          | Dart       |         22 |          0 |          9 |         31 |
| f:\androidstudio\clockly\lib\routes\app_pages.dart                                              | Dart       |         63 |          0 |          4 |         67 |
| f:\androidstudio\clockly\lib\routes\app_routes.dart                                             | Dart       |         16 |          0 |          1 |         17 |
| f:\androidstudio\clockly\pubspec.yaml                                                           | YAML       |         52 |          0 |          5 |         57 |
| f:\androidstudio\clockly\test\theme_test.dart                                                   | Dart       |        300 |         31 |         55 |        386 |
| f:\androidstudio\clockly\test\widget_test.dart                                                  | Dart       |         14 |         10 |          7 |         31 |
| f:\androidstudio\clockly\windows\CMakeLists.txt                                                 | CMake      |         89 |          0 |         20 |        109 |
| f:\androidstudio\clockly\windows\flutter\CMakeLists.txt                                         | CMake      |         98 |          0 |         12 |        110 |
| f:\androidstudio\clockly\windows\flutter\generated_plugin_registrant.cc                         | C++        |         18 |          4 |          5 |         27 |
| f:\androidstudio\clockly\windows\flutter\generated_plugin_registrant.h                          | C++        |          5 |          5 |          6 |         16 |
| f:\androidstudio\clockly\windows\flutter\generated_plugins.cmake                                | CMake      |         25 |          0 |          6 |         31 |
| f:\androidstudio\clockly\windows\runner\CMakeLists.txt                                          | CMake      |         34 |          0 |          7 |         41 |
| f:\androidstudio\clockly\windows\runner\flutter_window.cpp                                      | C++        |         49 |          7 |         16 |         72 |
| f:\androidstudio\clockly\windows\runner\flutter_window.h                                        | C++        |         20 |          5 |          9 |         34 |
| f:\androidstudio\clockly\windows\runner\main.cpp                                                | C++        |         30 |          4 |         10 |         44 |
| f:\androidstudio\clockly\windows\runner\resource.h                                              | C++        |          9 |          6 |          2 |         17 |
| f:\androidstudio\clockly\windows\runner\utils.cpp                                               | C++        |         54 |          2 |         10 |         66 |
| f:\androidstudio\clockly\windows\runner\utils.h                                                 | C++        |          8 |          6 |          6 |         20 |
| f:\androidstudio\clockly\windows\runner\win32_window.cpp                                        | C++        |        210 |         24 |         55 |        289 |
| f:\androidstudio\clockly\windows\runner\win32_window.h                                          | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                           |            |     11,712 |        213 |      1,684 |     13,609 |
+-------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
